Emp ID,First Name,Last Name,Gender,E Mail,Father's Name,Age in Yrs.,Year of Joining,Salary,Perc Hike,City
677509,Lois,Walker,F,lois.walker@hotmail.com,Donald Walker,36,2003,168251,21%,Denver
940761,Brenda,Robinson,F,brenda.robinson@gmail.com,Raymond Robinson,47,2008,51063,27%,Stonewall
428945,Joe,Robinson,M,joe.robinson@gmail.com,Scott Robinson,54,2016,50155,16%,Michigantown
408351,Diane,Evans,F,diane.evans@yahoo.com,Jason Evans,40,1999,180294,1%,Hydetown
193819,Benjamin,Russell,M,benjamin.russell@charter.net,Gregory Russell,40,2013,117642,13%,Fremont
499687,Patrick,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,35,2005,72305,5%,Macksburg
539712,Nancy,Baker,F,nancy.baker@bp.com,Scott Baker,22,2016,98189,0%,Denver
380086,Carol,Murphy,F,carol.murphy@gmail.com,Eugene Murphy,59,1983,60918,20%,Blanchester
477616,Frances,Young,F,frances.young@gmail.com,Fred Young,58,1994,121587,28%,Delmita
162402,Diana,Peterson,F,diana.peterson@hotmail.co.uk,Jonathan Peterson,30,2014,43010,4%,Eureka Springs
231469,Ralph,Flores,M,ralph.flores@yahoo.com,Terry Flores,43,2009,118457,8%,Sabetha
153989,Jack,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,22,2017,82965,23%,Las Vegas
386158,Melissa,King,F,melissa.king@comcast.net,Philip King,45,2015,166892,1%,New Matamoras
301576,Wayne,Watson,M,wayne.watson@gmail.com,Ronald Watson,21,2017,92758,14%,Maida
441771,Cheryl,Scott,F,cheryl.scott@gmail.com,Richard Scott,59,1990,92220,12%,Quecreek
528509,Paula,Diaz,F,paula.diaz@gmail.com,Alan Diaz,51,1994,152654,8%,Beulaville
912990,Joshua,Stewart,M,joshua.stewart@yahoo.ca,Todd Stewart,47,2002,184896,1%,New Douglas
214352,Theresa,Lee,F,theresa.lee@gmail.com,John Lee,25,2015,197537,1%,Toeterville
890290,Julia,Scott,F,julia.scott@apple.com,Lawrence Scott,58,2005,141518,3%,Primm Springs
622406,Thomas,Lewis,M,thomas.lewis@gmail.com,Ryan Lewis,50,1998,73862,3%,Dutchtown
979607,Carol,Edwards,F,carol.edwards@msn.com,Shawn Edwards,23,2016,93967,30%,Shreveport
969580,Matthew,Turner,M,matthew.turner@gmail.com,Jose Turner,24,2016,52237,9%,Heathsville
426038,Joan,Stewart,F,joan.stewart@yahoo.com,Charles Stewart,45,2009,111673,12%,Middleport
388642,Ruby,Rogers,F,ruby.rogers@gmail.com,Ronald Rogers,37,2013,160623,9%,Woodbury
560455,Carolyn,Hayes,F,carolyn.hayes@hotmail.co.uk,Jimmy Hayes,59,2001,42005,14%,Saint Cloud
477253,Anne,Russell,F,anne.russell@ibm.com,Jimmy Russell,28,2013,103160,29%,Stockholm
263480,Daniel,Cooper,M,daniel.cooper@yahoo.com,Louis Cooper,28,2014,153790,13%,Manning
683826,Roger,Roberts,M,roger.roberts@gmail.com,Antonio Roberts,48,2009,129625,12%,Mount Vernon
474599,Maria,Walker,F,maria.walker@microsoft.com,Ralph Walker,42,1998,48944,21%,Lawrenceburg
335732,Brenda,Butler,F,brenda.butler@gmail.com,Phillip Butler,54,1987,60508,29%,Mesa
329752,Lillian,Brown,F,lillian.brown@aol.com,Gary Brown,36,2015,67251,22%,Panacea
893212,Amy,Howard,F,amy.howard@aol.com,James Howard,36,2003,112715,30%,Kline
621833,Gregory,Edwards,M,gregory.edwards@outlook.com,Jose Edwards,24,2015,169245,22%,Bonanza
456747,Roy,Griffin,M,roy.griffin@yahoo.com,Benjamin Griffin,26,2012,170895,19%,Liberty
278556,Richard,Mitchell,M,richard.mitchell@verizon.net,Peter Mitchell,24,2016,122226,14%,Ohatchee
333476,Mary,Wilson,F,mary.wilson@sbcglobal.net,Robert Wilson,50,1991,109394,16%,Nashville
218791,Aaron,Price,M,aaron.price@bp.com,Michael Price,48,1997,54402,0%,Eckerty
134841,Donna,Brown,F,donna.brown@aol.com,Adam Brown,34,2013,129836,8%,Lima
726264,Carl,Collins,M,carl.collins@yahoo.com,Gerald Collins,44,2007,162159,7%,Wright
766610,Joyce,Jenkins,F,joyce.jenkins@aol.com,Edward Jenkins,56,2010,119321,13%,Ellsworth
923947,Mary,Bryant,F,mary.bryant@verizon.net,Joshua Bryant,55,2004,155442,4%,Conroy
227922,Amanda,Hughes,F,amanda.hughes@rediffmail.com,Roy Hughes,35,2007,114257,22%,Lake Charles
265813,Jack,Campbell,M,jack.campbell@gmail.com,Philip Campbell,33,2007,186280,23%,Kalvesta
247137,Alan,Rivera,M,alan.rivera@apple.com,Bobby Rivera,39,2006,154810,12%,Knoxville
407061,Elizabeth,Jackson,F,elizabeth.jackson@aol.com,Scott Jackson,53,2005,85420,24%,Rochester
226714,Nancy,Davis,F,nancy.davis@ibm.com,Bruce Davis,34,2012,94986,11%,Bowling Green
702813,Ernest,Martinez,M,ernest.martinez@gmail.com,Ryan Martinez,28,2016,172098,8%,Uniontown
524896,Judy,Hernandez,F,judy.hernandez@gmail.com,Fred Hernandez,56,2011,133332,30%,Topeka
363065,Nancy,Jones,F,nancy.jones@gmail.com,Eugene Jones,24,2015,61924,4%,New York City
879753,Pamela,Wright,F,pamela.wright@aol.com,Terry Wright,21,2017,149262,9%,Banner
958326,Larry,Miller,M,larry.miller@shell.com,Russell Miller,29,2017,97904,20%,East Saint Louis
447813,Ann,Coleman,F,ann.coleman@ibm.com,Harold Coleman,28,2013,130014,12%,Hancock
525955,Judy,Gonzales,F,judy.gonzales@gmail.com,Kevin Gonzales,58,1992,149575,9%,Eatontown
818384,Peter,Washington,M,peter.washington@bp.com,Douglas Washington,35,2009,173226,27%,Portage
971640,Clarence,Ross,M,clarence.ross@apple.com,Arthur Ross,57,2008,165272,9%,Oneida
253573,Sharon,Lopez,F,sharon.lopez@gmail.com,Daniel Lopez,26,2014,190139,21%,Bartley
904898,Ann,Cooper,F,ann.cooper@exxonmobil.com,Harold Cooper,25,2017,182521,30%,Arlee
515103,Anne,Perez,F,anne.perez@sbcglobal.net,Douglas Perez,59,2003,114426,9%,Cookeville
491943,Nancy,Howard,F,nancy.howard@gmail.com,Gregory Howard,56,1999,101553,25%,Saxe
750173,Antonio,Roberts,M,antonio.roberts@hotmail.com,Timothy Roberts,22,2017,181646,30%,Mc Calla
687017,Frances,Watson,F,frances.watson@outlook.com,Adam Watson,57,2010,46945,22%,Trego
241882,Debra,Wood,F,debra.wood@hotmail.com,Martin Wood,48,1991,84318,19%,Blair
758872,Henry,Jenkins,M,henry.jenkins@hotmail.com,Albert Jenkins,33,2017,102384,11%,Riverside
940922,Melissa,Butler,F,melissa.butler@hotmail.com,Robert Butler,23,2017,167631,30%,Maxwell
917937,Todd,Hall,M,todd.hall@yahoo.com,Thomas Hall,26,2016,163560,0%,Randallstown
917395,Christopher,Nelson,M,christopher.nelson@aol.com,Jeffrey Nelson,57,1997,190765,0%,Willow Beach
183071,Andrea,Garcia,F,andrea.garcia@aol.com,Mark Garcia,32,2010,54179,25%,Granger
316110,Jeremy,Sanchez,M,jeremy.sanchez@hotmail.com,Albert Sanchez,53,2006,178847,1%,Alcoa
293459,Steven,Phillips,M,steven.phillips@hotmail.com,Jason Phillips,31,2015,90108,24%,Baton Rouge
732017,Cynthia,Ramirez,F,cynthia.ramirez@btinternet.com,Walter Ramirez,35,2009,90531,2%,Browning
915638,Jason,Anderson,M,jason.anderson@gmail.com,Brandon Anderson,44,1999,76636,19%,Hudson
478003,Cynthia,White,F,cynthia.white@gmail.com,Nicholas White,54,2004,186200,30%,Kansas City
951225,Margaret,Brooks,F,margaret.brooks@gmail.com,Johnny Brooks,25,2016,43867,9%,Haswell
883936,Douglas,Flores,M,douglas.flores@gmail.com,Justin Flores,31,2009,181793,20%,Eckert
528673,Paul,Watson,M,paul.watson@hotmail.com,Carl Watson,58,1995,145235,15%,Blue River
765850,Linda,Moore,F,linda.moore@gmail.com,Howard Moore,26,2017,113256,18%,Albion
262382,Cheryl,Miller,F,cheryl.miller@ntlworld.com,Gerald Miller,32,2007,64143,3%,Bays
870820,Martha,Washington,F,martha.washington@aol.com,Todd Washington,26,2017,116629,25%,Nardin
806955,William,Hernandez,M,william.hernandez@rediffmail.com,Peter Hernandez,50,2000,73734,22%,Mary Esther
325319,Carolyn,Price,F,carolyn.price@yahoo.com,Kevin Price,41,2014,48736,2%,Wheaton
623253,Ruby,Stewart,F,ruby.stewart@gmail.com,Paul Stewart,49,2017,174774,7%,Margie
225925,Paul,Cooper,M,paul.cooper@gmail.com,Nicholas Cooper,26,2014,73526,27%,Glidden
761821,Ernest,Washington,M,ernest.washington@msn.com,Johnny Washington,33,2015,176675,15%,Saranac Lake
400173,Dorothy,Edwards,F,dorothy.edwards@hotmail.co.uk,Dennis Edwards,34,2013,179017,1%,Philadelphia
802554,Ryan,Alexander,M,ryan.alexander@shell.com,William Alexander,24,2014,106628,24%,Jarreau
476433,Lillian,Mitchell,F,lillian.mitchell@shaw.ca,Harry Mitchell,43,1999,149878,3%,Wichita
533952,Kelly,Adams,F,kelly.adams@bp.com,Eric Adams,42,2013,51878,15%,Meno
623929,Jimmy,Howard,M,jimmy.howard@yahoo.com,Nicholas Howard,51,2007,120631,13%,Oriskany
844177,Margaret,Allen,F,margaret.allen@gmail.com,Michael Allen,36,2013,180107,22%,Richmond Dale
212893,Janet,Henderson,F,janet.henderson@ntlworld.com,Jerry Henderson,38,2012,114481,5%,Miami
185032,Eugene,Perez,M,eugene.perez@exxonmobil.com,Jimmy Perez,38,2014,122950,26%,Racine
867084,Deborah,Smith,F,deborah.smith@yahoo.com,Richard Smith,40,2002,52767,28%,Atqasuk
969964,Janice,Parker,F,janice.parker@yahoo.com,Paul Parker,38,2016,147641,25%,Whiteman Air Force Base
158666,Rebecca,Stewart,F,rebecca.stewart@gmail.com,Roger Stewart,56,1983,160043,9%,Independence
489424,Phillip,White,M,phillip.white@gmail.com,Harold White,39,2016,181774,7%,Mapleton
639892,Jose,Hill,M,jose.hill@hotmail.com,Carlos Hill,23,2016,129774,15%,Biloxi
704709,Harold,Nelson,M,harold.nelson@gmail.com,Richard Nelson,33,2011,156194,0%,Carol Stream
461593,Nicole,Ward,F,nicole.ward@yahoo.com,Ralph Ward,53,1989,95673,12%,Detroit
392491,Theresa,Murphy,F,theresa.murphy@gmail.com,George Murphy,30,2010,51015,11%,Mc Grath
495141,Tammy,Young,F,tammy.young@comcast.net,Andrew Young,38,2015,93650,7%,Alma
